context,criteria,field_name,field_description,value_type
1. Collect and analyze enrolment data from last 5 years.',"1. Look at enrollment data of last 5 years and tell whether enrollment number has consistently increased, consistently decreased or inconsistently over the last 5 years?",,,
2. Conduct meeting with teachers and SMC members to discuss and set enrolment target for this year.',1. Does the picture show that two or more people sitting or talking?,,,
3. Form a working committee and plan activities and timeline of enrolment program.',1. Have activities and timelines for the enrollment program been clearly added in the evidence?,,,
4. Conduct different enrolment activities along with working committee.',"1. Do the pictures show enrollment drive conducted by school leaders, teachers, and students around the community and schools? ",,,
5. Calculate percentage increase in enrolment from last year and create an enrolment report.',"1. What is the percentage increase in enrolment for 2025 as compared to last year (2024)? 2. Is the enrollment report submitted by the user clearly mentioning the name of the block, school, year. Share the details.",,,
5. Calculate percentage increase in enrolment from last year and create an enrolment report.',,Enrollment_2024,"Extract the total enrolment (student) count for LAST YEAR (2024) from the enrolment report. Look for labels such as total enrolment number from last year, Last Year Enrolment, Previous Year, or a value near 2024. Return only the student count, typically between 5 and 10000 - do not return the year itself, and do not return a percentage.",int
5. Calculate percentage increase in enrolment from last year and create an enrolment report.',,Enrollment_2025,"Extract the total enrolment (student) count for CURRENT YEAR (2025) from the enrolment report. Look for labels such as total enrolment number from current year, Current Year Enrolment, This Year, or a value near 2025. Return only the student count, typically between 5 and 10000 - do not return the year itself, and do not return a percentage.",int
5. Calculate percentage increase in enrolment from last year and create an enrolment report.',,Enrollment_Increase_Percentage,"Extract the percentage increase or decrease in enrolment. Look for labels such as percent increase, percentage increase, or growth percent, usually shown with a percent sign. Can be negative for a decrease. Do not reuse the same value as Enrollment_2024 or Enrollment_2025.",float
